Species,Strain,Age,Sex,OrigSubNum,DBSubNum,InjuryDevice,InjuryCondition,SpinalLevel,Laterality,BlindingCode,UniqueIdentifier,intendedforce,actualforce,actualdisplacement,actualvelocity,dwelltime,cmprs,imp_v,cmprs_rt,STD_TissDeform,STD_Velocity,STD_TissForce,wtChng_wk1,wtChng_wk3,wtChng_wk6,Mean_3and6_WeightGain,Mean_1and3and6wks_WeightGain,RFSL_wk1,RFSL_wk3,RFSL_wk6,Mean_3and6_RFSL,Mean_1and3and6wks_RFSL,RFPA_wk1,RFPA_wk3,RFPA_wk6,Mean_3and6_RFPA,Mean_1and3and6wks_RFPA,AbsDevStepDistRF_wk1,AbsDevStepDistRF_wk3,AbsDevStepDistRF_wk6,Mean_3and6_AbsDevStepDistRF,Mean_1and3and6wks_AbsDevStepDistRF,LFSL_wk1,LFSL_wk3,LFSL_wk6,Mean_3and6_LFSL,Mean_1and3and6wks_LFSL,LFPA_wk1,LFPA_wk3,LFPA_wk6,Mean_3and6_LFPA,Mean_1and3and6wks_LFPA,AbsDevStepDistLF_wk1,AbsDevStepDistLF_wk3,AbsDevStepDistLF_wk6,Mean_3and6_AbsDevStepDistLF,Mean_1and3and6wks_AbsDevStepDistLF,RHSL_wk1,RHSL_wk3,RHSL_wk6,Mean_3and6_RHSL,Mean_1and3and6wks_RHSL,RHPA_wk1,RHPA_wk3,RHPA_wk6,Mean_3and6_RHPA,Mean_1and3and6wks_RHPA,AbsDevStepDistRH_wk1,AbsDevStepDistRH_wk3,AbsDevStepDistRH_wk6,Mean_3and6_AbsDevStepDistRH,Mean_1and3and6wks_AbsDevStepDistRH,LHSL_wk1,LHSL_wk3,LHSL_wk6,Mean_3and6_LHSL,Mean_1and3and6wks_LHSL,LHPA_wk1,LHPA_wk3,LHPA_wk6,Mean_3and6_LHPA,Mean_1and3and6wks_LHPA,AbsDevStepDistLH_wk1,AbsDevStepDistLH_wk3,AbsDevStepDistLH_wk6,Mean_3and6_AbsDevStepDistLH,Mean_1and3and6wks_AbsDevStepDistLH,Groom_wk1,Groom_wk3,Groom_wk6,Mean_3and6_Grooming,Mean_1and3and6wks_Grooming,PawPL_wk1,PawPL_wk3,PawPL_wk6,Mean_3and6_PawPL,Mean_1and3and6wks_PawPL,BBB_FergTrans_wk1,BBB_FergTrans_wk3,BBB_FergTrans_wk6,Mean_3and6_BBB_FergTrans,Mean_1and3and6wks_BBB_FergTrans,TotalSubscore_wk1,TotalSubscore_wk3,TotalSubscore_wk6,Mean_3and6_BBB_TotalSubscore,Mean_1and3and6wks_BBB_TotalSubscore,ForelimbOpenField_wk1,ForelimbOpenField_wk3,ForelimbOpenField_wk6,Mean_3and6_ForelimbOpenField,Mean_1and3and6wks_ForelimbOpenField,pct_TissueAreaTOTepi,pct_tsprle,pct_gmsprle,pct_wmsprle,pct_prcls,PctCntMN_COMPavg
Rat,LE,75-83days,F,M1060,1060,NYU,6.25,C5,Unilateral,,,,,,,,2,0,0,1980,,,-6,19,38,28.5,17,,117.431465,158.41,137.9207325,137.9207325,,41.143032,26.06,33.601516,33.601516,,0.555555,0.723915,0.639735,0.639735,,117.006935,162,139.5034675,139.5034675,,53.7818,92.84,73.3109,79.8206,,0.925926,0.971672,0.948799,0.948799,,145.29768,161.64,153.46884,153.46884,,71.254425,121.71,96.4822125,96.4822125,,0.555555,0.414318,0.4849365,0.4849365,,133.29066,164.3,148.79533,148.79533,,92.16936,174.29,133.22968,133.22968,,0.185184,0.166561,0.1758725,0.1758725,2,3,3,3,2.666666667,96.43,86.28514,88.46154,87.37334,90.39222667,9,9,9,9,9,12,12,12,12,12,2,3,3,3,2.666666667,72,21,1,30,71,0
Rat,LE,75-83days,F,M1061,1061,NYU,12.5,C5,Unilateral,,,,,,,,3,1,0,2910,,,10,22,31,26.5,21,,130.83246,130.9,130.86623,130.86623,,52.458828,44.85,48.654414,48.654414,,1.5625,0.888866,1.225683,1.225683,,121.06362,122,121.53181,121.53181,,93.14557,90.7,91.922785,91.51519,,2.34375,5.563004,3.953377,3.953377,,141.568,158.13,149.849,149.849,,106.032455,98.68,102.3562275,102.3562275,,0,0.832872,0.416436,0.416436,,145.98827,173.84,159.914135,159.914135,,147.91724,146,146.95862,146.95862,,0.78125,3.841265,2.3112575,2.3112575,3,4,4,4,3.666666667,86.84,95.60284,100,97.80142,94.14761333,9,9,9,9,9,11,12,12,12,11.66666667,2,2,3,2.5,2.333333333,66,19,3,27,71,10.41453
Rat,LE,75-83days,,R2041,2041,IH-impactor,75kdyn,C5,Unilateral,,,75,76,723,120,0,,,,723,,,2,0,-2,-1,0,111.44,107.846,124.7,116.273,114.662,79.456,98.49,76.93332,87.71166,84.95977333,1.286,3.296,1.91,2.603,2.164,25.274,23.88,26,24.94,25.05133333,92.992,91.67,94.15666,92.91333,92.93955333,0.274,1.12,0.87,0.995,0.754666667,105.12,103.11,103.11,103.11,103.78,241.346,271.817,271.77,271.7935,261.6443333,1.29,1.87,1.51,1.69,1.556666667,261.548,111,111.4,111.2,161.316,261.7,277.36,277.356,277.358,272.1386667,0.27,0.74,0.898,0.819,0.636,4,5,5,5,4.666666667,47.5,41.85,27.82,34.835,39.05666667,11,12,12,12,11.66666667,13,13,13,13,13,3,3,3,3,3,81,35,1,60,45,26.140886
Rat,LE,75-83days,,R2042,2042,IH-impactor,100kdyn,C5,Unilateral,,,100,103,952,127,0,,,,952,,,-3,-10,-5,-7.5,-6,132.3466,115.38,118.74,117.06,122.1555333,97.456,99.78,72.9,86.34,90.04533333,2.718,2.336,0.69,1.513,1.914666667,112.91,117.254,112,114.627,114.0546667,118.42,111.02,72.606,91.813,100.682,0.376,0.356,0.69,0.523,0.474,110.12,121.04,116.96,119,116.04,285.374,263.88,105.2,184.54,218.1513333,2.72,0.75,0.75,0.75,1.406666667,115.96,95.086,113.3,104.193,108.1153333,284,320.07,122.1,221.085,242.0566667,0.38,0.75,0.75,0.75,0.626666667,3,4,5,4.5,4,75.56,68.87,81.58,75.225,75.33666667,10,12,12,12,11.33333333,12,13,13,13,12.66666667,3,3,3,3,3,65,33,0,49,32,19.043062
Rat,LE,75-83days,,R2043,2043,IH-impactor,75kdyn,C5,Unilateral,,,75,76,1358,124,0,,,,1358,,,-19.5,-20,-0.5,-10.25,-13.33333333,139.87,109.504,115.54,112.522,121.638,50.43,79.848,54.434,67.141,61.57066667,2.774,1.91,2.778,2.344,2.487333333,130.6,106.62,110,108.31,115.74,98.719,111.286,55.144,83.215,88.383,4.014,0,0.522,0.261,1.512,136.16,95.794,121.24,108.517,117.7313333,90.1,176.02,109.55,142.785,125.2233333,2.77,0.21,1.72,0.965,1.566666667,130.04,125.04,116.8,120.92,123.96,102.7,242.053,104.4,173.2265,149.7176667,4.01,0.76,2.65,1.705,2.473333333,2,3,5,4,3.333333333,64.56,47.97,38.18,43.075,50.23666667,10,10,11,10.5,10.33333333,13,13,13,13,13,3,3,3,3,3,86,58,4,98,27,4.166666
Rat,LE,75-83days,,R2044,2044,IH-impactor,100kdyn,C5,Unilateral,,,100,103,917,122,0,,,,917,,,-3,2.5,19,10.75,6.166666667,116.3,114.92,112.64,113.78,114.62,76.81,75.22,61.03,68.125,71.02,3.264,0.34,0.54,0.44,1.381333333,116.36,112.08,111,111.54,113.1466667,139.47,98.42,82.4,90.41,106.7633333,3.042,0.06,0.27,0.165,1.124,115.96,109.86,108.26,109.06,111.36,226.36,238.547,139.763,189.155,201.5566667,3.26,2.13,1.3,1.715,2.23,128.88,120.18,108.76,114.47,119.2733333,254.166,278.267,174.602,226.4345,235.6783333,3.04,1.09,1.19,1.14,1.773333333,3,3,3,3,3,90.91,60.32,69.62,64.97,73.61666667,9,10,9,9.5,9.333333333,11,12,13,12.5,12,2,3,3,3,2.666666667,74,12,0,19,62,18.911674
Rat,LE,75-83days,,R2045,2045,IH-impactor,75kdyn,C5,Unilateral,,,75,77,740,124,0,,,,740,,,0,0,22,11,7.333333333,126.79,118.23,152.1,135.165,132.3733333,102.91,88.24,114.346,101.293,101.832,2.08,0.396,2.162,1.279,1.546,133.04,115.43,159,137.215,135.8233333,147.87,109.53,119.64,114.585,125.68,0.47,0.54,0.334,0.437,0.448,137.84,120.11,128.76,124.435,128.9033333,275.296,242.36,103.796,173.078,207.1506667,2.08,2.56,0.54,1.55,1.726666667,151.26,112.64,130.28,121.46,131.3933333,338.464,214.607,123.886,169.2465,225.6523333,0.47,0.74,2.67,1.705,1.293333333,4,5,5,5,4.666666667,46.67,52.54,46.88,49.71,48.69666667,10,10,12,11,10.66666667,12,13,13,13,12.66666667,3,3,3,3,3,67,43,0,64,24,13.406593
Rat,LE,75-83days,,R2046,2046,IH-impactor,100kdyn,C5,Unilateral,,,100,100,793,124,0,,,,793,,,-8,4,25,14.5,7,104.5,117.34,101.986,109.663,107.942,59.69,65.08,58.346,61.713,61.03866667,1.398,2.93,1.666,2.298,1.998,109.39,111.02,107,109.01,109.1366667,188.25,117.64,100.328,108.984,135.406,1.35,0.08,0.826,0.453,0.752,129.18,113.66,105.346,109.503,116.062,245.893,203.21,203.477,203.3435,217.5266667,1.4,0.01,0.68,0.345,0.696666667,177.62,113.42,105.086,109.253,132.042,335.6,230.36,210.439,220.3995,258.7996667,1.35,2.06,1.44,1.75,1.616666667,2,2,2,2,2,100,96.88,96.67,96.775,97.85,9,9,10,9.5,9.333333333,10,12,12,12,11.33333333,1,2,3,2.5,2,54,21,0,32,33,12.812876
Rat,LE,75-83days,,R2047,2047,IH-impactor,75kdyn,C5,Unilateral,,,75,79,1358,124,0,,,,1358,,,11,20.5,39,29.75,23.5,141.7174,121.2,110.19,115.695,124.3691333,109.68,67.45,91.2866,79.3683,89.4722,2.18,0.69,0.816,0.753,1.228666667,127.27,122.2,112,117.1,120.49,108.081,98.934,121.55,110.242,109.5216667,0.432,0.69,1.468,1.079,0.863333333,139.8,119.22,113.174,116.197,124.0646667,192.77,160.273,163.646,161.9595,172.2296667,2.18,0.09,0.82,0.455,1.03,140.02,127.5,113.234,120.367,126.918,242.043,203.7,153.719,178.7095,199.8206667,0.43,0.4,0.18,0.29,0.336666667,4,5,5,5,4.666666667,30.36,33.71,37.88,35.795,33.98333333,10,11,12,11.5,11,13,13,13,13,13,3,3,3,3,3,74,32,0,49,39,21.752596
Rat,LE,75-83days,,R2048,2048,IH-impactor,100kdyn,C5,Unilateral,,,100,102,1146,120,0,,,,1146,,,-4,3,18,10.5,5.666666667,149.68,114.72,117.26,115.99,127.22,23.89,31.886,46.776,39.331,34.184,0.184,0.194,1.7,0.947,0.692666667,208.3,122.44,110,116.22,146.9133333,159.666,62.014,61.734,61.874,94.47133333,0.432,1.104,1.698,1.401,1.078,217.7,116.04,109.26,112.65,147.6666667,272.6,104.508,135.368,119.938,170.8253333,0.18,0.53,0.77,0.65,0.493333333,282.38,122.22,112.24,117.23,172.28,336.176,139.603,134.159,136.881,203.3126667,0.43,1.59,1.27,1.43,1.096666667,3,3,3,3,3,85.73,84.62,76.32,80.47,82.22333333,9,9,9,9,9,12,13,12,12.5,12.33333333,3,3,3,3,3,50,26,3,36,24,2.857143
